document,label,index,form,posTag,nerLabel,head,depLabel,keywords
5,van_hoa,19,thanh_hằng,Np,B-PER,17,nmod,"[{}, {'lương_mạnh_hải': 1, 'thanh_hằng': 1, 'vũ_ngọc_đãng': 1, 'minh_tú': 1, 'cao_thiên_trang': 1, 'tăng_thanh_hà': 1}, {'tối': 1, 'dự_án': 1, 'phim': 1, 'hoa_hậu': 1, 'giang_hồ': 1, 'đạo_diễn': 1, 'ra_mắt': 1, 'có': 1, 'sự': 3, 'tham_dự': 1, 'nhiều': 1, 'nghệ_sĩ': 1, 'đặc_biệt': 1, 'xuất_hiện': 1, 'thảm_đỏ': 1, 'thu_hút': 1, 'quan_tâm': 1, 'báo_giới': 1}]"
5,van_hoa,21,vũ_ngọc_đãng,Np,B-PER,19,nmod,"[{}, {'lương_mạnh_hải': 1, 'thanh_hằng': 1, 'vũ_ngọc_đãng': 1, 'minh_tú': 1, 'cao_thiên_trang': 1, 'tăng_thanh_hà': 1}, {'tối': 1, 'dự_án': 1, 'phim': 1, 'hoa_hậu': 1, 'giang_hồ': 1, 'đạo_diễn': 1, 'ra_mắt': 1, 'có': 1, 'sự': 3, 'tham_dự': 1, 'nhiều': 1, 'nghệ_sĩ': 1, 'đặc_biệt': 1, 'xuất_hiện': 1, 'thảm_đỏ': 1, 'thu_hút': 1, 'quan_tâm': 1, 'báo_giới': 1}]"
5,van_hoa,23,minh_tú,Np,B-PER,19,nmod,"[{}, {'lương_mạnh_hải': 1, 'thanh_hằng': 1, 'vũ_ngọc_đãng': 1, 'minh_tú': 1, 'cao_thiên_trang': 1, 'tăng_thanh_hà': 1}, {'tối': 1, 'dự_án': 1, 'phim': 1, 'hoa_hậu': 1, 'giang_hồ': 1, 'đạo_diễn': 1, 'ra_mắt': 1, 'có': 1, 'sự': 3, 'tham_dự': 1, 'nhiều': 1, 'nghệ_sĩ': 1, 'đặc_biệt': 1, 'xuất_hiện': 1, 'thảm_đỏ': 1, 'thu_hút': 1, 'quan_tâm': 1, 'báo_giới': 1}]"
5,van_hoa,25,cao_thiên_trang,Np,B-PER,19,nmod,"[{}, {'lương_mạnh_hải': 1, 'thanh_hằng': 1, 'vũ_ngọc_đãng': 1, 'minh_tú': 1, 'cao_thiên_trang': 1, 'tăng_thanh_hà': 1}, {'tối': 1, 'dự_án': 1, 'phim': 1, 'hoa_hậu': 1, 'giang_hồ': 1, 'đạo_diễn': 1, 'ra_mắt': 1, 'có': 1, 'sự': 3, 'tham_dự': 1, 'nhiều': 1, 'nghệ_sĩ': 1, 'đặc_biệt': 1, 'xuất_hiện': 1, 'thảm_đỏ': 1, 'thu_hút': 1, 'quan_tâm': 1, 'báo_giới': 1}]"
5,van_hoa,6,tăng_thanh_hà,Np,B-PER,5,pob,"[{}, {'lương_mạnh_hải': 1, 'thanh_hằng': 1, 'vũ_ngọc_đãng': 1, 'minh_tú': 1, 'cao_thiên_trang': 1, 'tăng_thanh_hà': 1}, {'tối': 1, 'dự_án': 1, 'phim': 1, 'hoa_hậu': 1, 'giang_hồ': 1, 'đạo_diễn': 1, 'ra_mắt': 1, 'có': 1, 'sự': 3, 'tham_dự': 1, 'nhiều': 1, 'nghệ_sĩ': 1, 'đặc_biệt': 1, 'xuất_hiện': 1, 'thảm_đỏ': 1, 'thu_hút': 1, 'quan_tâm': 1, 'báo_giới': 1}]"
6,van_hoa,5,ngọc_trinh,Np,B-PER,8,sub,"[{}, {'ngọc_trinh': 1, 'vũ_khắc_tiệp': 1}, {'sai': 1, 'nói': 1, 'là': 1, 'bộ': 1, 'biết': 1, 'cách': 1, 'khiến': 1, 'dân_tình': 1, 'phải': 1, 'quan_tâm': 1, 'đời_sống': 1, 'cá_nhân': 1}]"
6,van_hoa,7,vũ_khắc_tiệp,Np,B-PER,6,conj,"[{}, {'ngọc_trinh': 1, 'vũ_khắc_tiệp': 1}, {'sai': 1, 'nói': 1, 'là': 1, 'bộ': 1, 'biết': 1, 'cách': 1, 'khiến': 1, 'dân_tình': 1, 'phải': 1, 'quan_tâm': 1, 'đời_sống': 1, 'cá_nhân': 1}]"
7,the_gioi,2,trump,Np,B-PER,1,nmod,"[{'nhà_trắng': 1, 'mỹ': 2, 'trung_quốc': 1, 'reuters': 1}, {'trump': 1}, {'cuộc': 1, 'họp': 1, 'hôm': 1, 'nói': 1, 'chính_phủ': 1, 'nhận': 1, 'phần_trăm': 1, 'lớn': 1, 'việc': 1, 'bán': 3, 'mảng': 1, 'kinh_doanh': 1, 'tiktok': 1, 'số': 1, 'tiền': 1, 'là': 1, 'đe_doạ': 1, 'khiến': 1, 'ứng_dụng': 1, 'thuộc': 1, 'sở_hữu': 1, 'gã': 1, 'khổng_lồ': 1, 'công_nghệ': 1, 'bytedance': 1, 'ngưng': 1, 'hoạt_động': 1, 'được': 1, 'hạn': 1, 'cuối': 1, 'ngày': 1}]"
8,the_gioi,4,biden,Np,B-PER,3,nmod,"[{'bang': 1, 'michigan': 2, 'arizona': 2, 'florida': 2}, {'biden': 4, 'donald_trump': 1, 'trump': 5}, {'cụ_thể': 1, 'dẫn': 2, 'tổng_thống': 1, 'đương_nhiệm': 1, 'được': 2, 'ý_kiến': 1, 'ủng_hộ': 2, 'chênh_lệch': 1, 'xa': 1, 'so': 3, 'tỉ_lệ': 3, 'cử_tri': 3, 'hỏi': 1, 'là': 1, 'khi': 1, 'khảo_sát': 1, 'bang': 1, 'nói': 1, 'trên': 1, 'đồng_ý': 1, 'cách': 3, 'xử_lý': 2, 'vấn_đề': 1, 'chủng_tộc': 1, 'đại_dịch': 1, 'viêm': 1, 'đường': 1, 'hô_hấp': 1, 'cấp': 1, 'covid-': 1, 'tin_tưởng': 1, 'điều_hành': 1, 'nền': 1, 'kinh_tế': 1}]"
8,the_gioi,9,donald_trump,Np,B-PER,7,nmod,"[{'bang': 1, 'michigan': 2, 'arizona': 2, 'florida': 2}, {'biden': 4, 'donald_trump': 1, 'trump': 5}, {'cụ_thể': 1, 'dẫn': 2, 'tổng_thống': 1, 'đương_nhiệm': 1, 'được': 2, 'ý_kiến': 1, 'ủng_hộ': 2, 'chênh_lệch': 1, 'xa': 1, 'so': 3, 'tỉ_lệ': 3, 'cử_tri': 3, 'hỏi': 1, 'là': 1, 'khi': 1, 'khảo_sát': 1, 'bang': 1, 'nói': 1, 'trên': 1, 'đồng_ý': 1, 'cách': 3, 'xử_lý': 2, 'vấn_đề': 1, 'chủng_tộc': 1, 'đại_dịch': 1, 'viêm': 1, 'đường': 1, 'hô_hấp': 1, 'cấp': 1, 'covid-': 1, 'tin_tưởng': 1, 'điều_hành': 1, 'nền': 1, 'kinh_tế': 1}]"
8,the_gioi,20,trump,Np,B-PER,19,nmod,"[{'bang': 1, 'michigan': 2, 'arizona': 2, 'florida': 2}, {'biden': 4, 'donald_trump': 1, 'trump': 5}, {'cụ_thể': 1, 'dẫn': 2, 'tổng_thống': 1, 'đương_nhiệm': 1, 'được': 2, 'ý_kiến': 1, 'ủng_hộ': 2, 'chênh_lệch': 1, 'xa': 1, 'so': 3, 'tỉ_lệ': 3, 'cử_tri': 3, 'hỏi': 1, 'là': 1, 'khi': 1, 'khảo_sát': 1, 'bang': 1, 'nói': 1, 'trên': 1, 'đồng_ý': 1, 'cách': 3, 'xử_lý': 2, 'vấn_đề': 1, 'chủng_tộc': 1, 'đại_dịch': 1, 'viêm': 1, 'đường': 1, 'hô_hấp': 1, 'cấp': 1, 'covid-': 1, 'tin_tưởng': 1, 'điều_hành': 1, 'nền': 1, 'kinh_tế': 1}]"
9,phap_luat,28,hải,Np,B-PER,29,sub,"[{'cầu': 1, 'voi': 1, 'long_an': 1, 'tand': 1, 'tối_cao': 1}, {'hải': 4, 'trần_hồng_phong': 1, 'hồ_văn_bình': 3, 'hai': 5, 'vân': 3, 'hồng': 4, 'lê_thành_trung': 1, 'bình': 4, 'hồ_duy_hải': 1}, {'thanh_niên': 7, 'có_mặt': 4, 'bưu_điện': 7, 'h': 1, 'đơn': 1, 'trình_bày': 1, 'luật_sư': 2, 'bản_án': 2, 'sơ_thẩm': 1, 'phúc_thẩm': 1, 'quyết_định': 3, 'giám_đốc_thẩm': 2, 'thể_hiện': 3, 'khoảng': 2, 'ngày': 2, 'gọi': 1, 'điện_thoại': 1, 'tiệm': 2, 'cầm_đồ': 2, 'ghé': 1, 'quán': 1, 'cà_phê': 1, 'trả': 1, 'tiền': 2, 'nợ': 1, 'bạn': 1, 'chạy': 1, 'ra_tay': 1, 'giết': 2, 'chết': 1, 'nạn_nhân': 2, 'có': 6, 'nhiều': 2, 'nhân_chứng': 1, 'nhìn': 5, 'thấy': 4, 'nam': 1, 'thời_gian': 2, 'lời': 5, 'khai': 5, 'thừa_nhận': 1, 'việc': 1, 'cho': 1, 'gần': 1, 'ông': 2, 'tiếp_nhận': 1, 'bút_lục': 4, 'tin_tưởng': 1, 'là': 1, 'nằm': 1, 'hồ_sơ': 2, 'được': 1, 'rút': 1, 'ra': 1, 'án': 1, 'đóng_dấu': 1, 'vks': 1, 'số': 1, 'theo': 1, 'lấy': 4, 'sau': 2, 'khi': 2, 'vụ': 1, 'án_mạng': 1, 'xảy': 1, 'chiều': 1, 'chủ_nhật': 1, 'lúc': 5, 'vào': 1, 'gửi': 4, 'xe_gắn_máy': 1, 'đi': 2, 'bộ': 1, 'nhà': 3, 'ngồi': 6, 'quầy': 2, 'tính': 1, 'ghế': 1, 'kêu': 1, 'xe': 5, 'người': 2, 'phía': 2, 'điều_tra_viên': 1, 'hỏi': 1, 'anh': 2, 'xác_định': 3, 'trả_lời': 1, 'rõ_ràng': 1, 'hôm': 1, 'vàng': 1, 'về': 4, 'đồng_hồ': 1, 'nói': 1, 'hôm_nay': 1, 'muộn': 1, 'qua': 1, 'quay': 2, 'bình_thường': 1, 'đứng': 1, 'dựa': 1, 'hồng': 1, 'căn_cứ': 1, 'tình_hình': 1, 'thực_tế': 1, 'còn': 1, 'cùng': 2, 'vân': 1, 'bưu_cục': 2, 'hđtp': 1, 'nêu': 1, 'hơn': 1}]"
9,phap_luat,2,trần_hồng_phong,Np,B-PER,1,nmod,"[{'cầu': 1, 'voi': 1, 'long_an': 1, 'tand': 1, 'tối_cao': 1}, {'hải': 4, 'trần_hồng_phong': 1, 'hồ_văn_bình': 3, 'hai': 5, 'vân': 3, 'hồng': 4, 'lê_thành_trung': 1, 'bình': 4, 'hồ_duy_hải': 1}, {'thanh_niên': 7, 'có_mặt': 4, 'bưu_điện': 7, 'h': 1, 'đơn': 1, 'trình_bày': 1, 'luật_sư': 2, 'bản_án': 2, 'sơ_thẩm': 1, 'phúc_thẩm': 1, 'quyết_định': 3, 'giám_đốc_thẩm': 2, 'thể_hiện': 3, 'khoảng': 2, 'ngày': 2, 'gọi': 1, 'điện_thoại': 1, 'tiệm': 2, 'cầm_đồ': 2, 'ghé': 1, 'quán': 1, 'cà_phê': 1, 'trả': 1, 'tiền': 2, 'nợ': 1, 'bạn': 1, 'chạy': 1, 'ra_tay': 1, 'giết': 2, 'chết': 1, 'nạn_nhân': 2, 'có': 6, 'nhiều': 2, 'nhân_chứng': 1, 'nhìn': 5, 'thấy': 4, 'nam': 1, 'thời_gian': 2, 'lời': 5, 'khai': 5, 'thừa_nhận': 1, 'việc': 1, 'cho': 1, 'gần': 1, 'ông': 2, 'tiếp_nhận': 1, 'bút_lục': 4, 'tin_tưởng': 1, 'là': 1, 'nằm': 1, 'hồ_sơ': 2, 'được': 1, 'rút': 1, 'ra': 1, 'án': 1, 'đóng_dấu': 1, 'vks': 1, 'số': 1, 'theo': 1, 'lấy': 4, 'sau': 2, 'khi': 2, 'vụ': 1, 'án_mạng': 1, 'xảy': 1, 'chiều': 1, 'chủ_nhật': 1, 'lúc': 5, 'vào': 1, 'gửi': 4, 'xe_gắn_máy': 1, 'đi': 2, 'bộ': 1, 'nhà': 3, 'ngồi': 6, 'quầy': 2, 'tính': 1, 'ghế': 1, 'kêu': 1, 'xe': 5, 'người': 2, 'phía': 2, 'điều_tra_viên': 1, 'hỏi': 1, 'anh': 2, 'xác_định': 3, 'trả_lời': 1, 'rõ_ràng': 1, 'hôm': 1, 'vàng': 1, 'về': 4, 'đồng_hồ': 1, 'nói': 1, 'hôm_nay': 1, 'muộn': 1, 'qua': 1, 'quay': 2, 'bình_thường': 1, 'đứng': 1, 'dựa': 1, 'hồng': 1, 'căn_cứ': 1, 'tình_hình': 1, 'thực_tế': 1, 'còn': 1, 'cùng': 2, 'vân': 1, 'bưu_cục': 2, 'hđtp': 1, 'nêu': 1, 'hơn': 1}]"
9,phap_luat,11,hồ_văn_bình,Np,B-PER,10,nmod,"[{'cầu': 1, 'voi': 1, 'long_an': 1, 'tand': 1, 'tối_cao': 1}, {'hải': 4, 'trần_hồng_phong': 1, 'hồ_văn_bình': 3, 'hai': 5, 'vân': 3, 'hồng': 4, 'lê_thành_trung': 1, 'bình': 4, 'hồ_duy_hải': 1}, {'thanh_niên': 7, 'có_mặt': 4, 'bưu_điện': 7, 'h': 1, 'đơn': 1, 'trình_bày': 1, 'luật_sư': 2, 'bản_án': 2, 'sơ_thẩm': 1, 'phúc_thẩm': 1, 'quyết_định': 3, 'giám_đốc_thẩm': 2, 'thể_hiện': 3, 'khoảng': 2, 'ngày': 2, 'gọi': 1, 'điện_thoại': 1, 'tiệm': 2, 'cầm_đồ': 2, 'ghé': 1, 'quán': 1, 'cà_phê': 1, 'trả': 1, 'tiền': 2, 'nợ': 1, 'bạn': 1, 'chạy': 1, 'ra_tay': 1, 'giết': 2, 'chết': 1, 'nạn_nhân': 2, 'có': 6, 'nhiều': 2, 'nhân_chứng': 1, 'nhìn': 5, 'thấy': 4, 'nam': 1, 'thời_gian': 2, 'lời': 5, 'khai': 5, 'thừa_nhận': 1, 'việc': 1, 'cho': 1, 'gần': 1, 'ông': 2, 'tiếp_nhận': 1, 'bút_lục': 4, 'tin_tưởng': 1, 'là': 1, 'nằm': 1, 'hồ_sơ': 2, 'được': 1, 'rút': 1, 'ra': 1, 'án': 1, 'đóng_dấu': 1, 'vks': 1, 'số': 1, 'theo': 1, 'lấy': 4, 'sau': 2, 'khi': 2, 'vụ': 1, 'án_mạng': 1, 'xảy': 1, 'chiều': 1, 'chủ_nhật': 1, 'lúc': 5, 'vào': 1, 'gửi': 4, 'xe_gắn_máy': 1, 'đi': 2, 'bộ': 1, 'nhà': 3, 'ngồi': 6, 'quầy': 2, 'tính': 1, 'ghế': 1, 'kêu': 1, 'xe': 5, 'người': 2, 'phía': 2, 'điều_tra_viên': 1, 'hỏi': 1, 'anh': 2, 'xác_định': 3, 'trả_lời': 1, 'rõ_ràng': 1, 'hôm': 1, 'vàng': 1, 'về': 4, 'đồng_hồ': 1, 'nói': 1, 'hôm_nay': 1, 'muộn': 1, 'qua': 1, 'quay': 2, 'bình_thường': 1, 'đứng': 1, 'dựa': 1, 'hồng': 1, 'căn_cứ': 1, 'tình_hình': 1, 'thực_tế': 1, 'còn': 1, 'cùng': 2, 'vân': 1, 'bưu_cục': 2, 'hđtp': 1, 'nêu': 1, 'hơn': 1}]"
9,phap_luat,42,hai,Np,B-PER,41,nmod,"[{'cầu': 1, 'voi': 1, 'long_an': 1, 'tand': 1, 'tối_cao': 1}, {'hải': 4, 'trần_hồng_phong': 1, 'hồ_văn_bình': 3, 'hai': 5, 'vân': 3, 'hồng': 4, 'lê_thành_trung': 1, 'bình': 4, 'hồ_duy_hải': 1}, {'thanh_niên': 7, 'có_mặt': 4, 'bưu_điện': 7, 'h': 1, 'đơn': 1, 'trình_bày': 1, 'luật_sư': 2, 'bản_án': 2, 'sơ_thẩm': 1, 'phúc_thẩm': 1, 'quyết_định': 3, 'giám_đốc_thẩm': 2, 'thể_hiện': 3, 'khoảng': 2, 'ngày': 2, 'gọi': 1, 'điện_thoại': 1, 'tiệm': 2, 'cầm_đồ': 2, 'ghé': 1, 'quán': 1, 'cà_phê': 1, 'trả': 1, 'tiền': 2, 'nợ': 1, 'bạn': 1, 'chạy': 1, 'ra_tay': 1, 'giết': 2, 'chết': 1, 'nạn_nhân': 2, 'có': 6, 'nhiều': 2, 'nhân_chứng': 1, 'nhìn': 5, 'thấy': 4, 'nam': 1, 'thời_gian': 2, 'lời': 5, 'khai': 5, 'thừa_nhận': 1, 'việc': 1, 'cho': 1, 'gần': 1, 'ông': 2, 'tiếp_nhận': 1, 'bút_lục': 4, 'tin_tưởng': 1, 'là': 1, 'nằm': 1, 'hồ_sơ': 2, 'được': 1, 'rút': 1, 'ra': 1, 'án': 1, 'đóng_dấu': 1, 'vks': 1, 'số': 1, 'theo': 1, 'lấy': 4, 'sau': 2, 'khi': 2, 'vụ': 1, 'án_mạng': 1, 'xảy': 1, 'chiều': 1, 'chủ_nhật': 1, 'lúc': 5, 'vào': 1, 'gửi': 4, 'xe_gắn_máy': 1, 'đi': 2, 'bộ': 1, 'nhà': 3, 'ngồi': 6, 'quầy': 2, 'tính': 1, 'ghế': 1, 'kêu': 1, 'xe': 5, 'người': 2, 'phía': 2, 'điều_tra_viên': 1, 'hỏi': 1, 'anh': 2, 'xác_định': 3, 'trả_lời': 1, 'rõ_ràng': 1, 'hôm': 1, 'vàng': 1, 'về': 4, 'đồng_hồ': 1, 'nói': 1, 'hôm_nay': 1, 'muộn': 1, 'qua': 1, 'quay': 2, 'bình_thường': 1, 'đứng': 1, 'dựa': 1, 'hồng': 1, 'căn_cứ': 1, 'tình_hình': 1, 'thực_tế': 1, 'còn': 1, 'cùng': 2, 'vân': 1, 'bưu_cục': 2, 'hđtp': 1, 'nêu': 1, 'hơn': 1}]"
9,phap_luat,6,vân,Np,B-PER,7,sub,"[{'cầu': 1, 'voi': 1, 'long_an': 1, 'tand': 1, 'tối_cao': 1}, {'hải': 4, 'trần_hồng_phong': 1, 'hồ_văn_bình': 3, 'hai': 5, 'vân': 3, 'hồng': 4, 'lê_thành_trung': 1, 'bình': 4, 'hồ_duy_hải': 1}, {'thanh_niên': 7, 'có_mặt': 4, 'bưu_điện': 7, 'h': 1, 'đơn': 1, 'trình_bày': 1, 'luật_sư': 2, 'bản_án': 2, 'sơ_thẩm': 1, 'phúc_thẩm': 1, 'quyết_định': 3, 'giám_đốc_thẩm': 2, 'thể_hiện': 3, 'khoảng': 2, 'ngày': 2, 'gọi': 1, 'điện_thoại': 1, 'tiệm': 2, 'cầm_đồ': 2, 'ghé': 1, 'quán': 1, 'cà_phê': 1, 'trả': 1, 'tiền': 2, 'nợ': 1, 'bạn': 1, 'chạy': 1, 'ra_tay': 1, 'giết': 2, 'chết': 1, 'nạn_nhân': 2, 'có': 6, 'nhiều': 2, 'nhân_chứng': 1, 'nhìn': 5, 'thấy': 4, 'nam': 1, 'thời_gian': 2, 'lời': 5, 'khai': 5, 'thừa_nhận': 1, 'việc': 1, 'cho': 1, 'gần': 1, 'ông': 2, 'tiếp_nhận': 1, 'bút_lục': 4, 'tin_tưởng': 1, 'là': 1, 'nằm': 1, 'hồ_sơ': 2, 'được': 1, 'rút': 1, 'ra': 1, 'án': 1, 'đóng_dấu': 1, 'vks': 1, 'số': 1, 'theo': 1, 'lấy': 4, 'sau': 2, 'khi': 2, 'vụ': 1, 'án_mạng': 1, 'xảy': 1, 'chiều': 1, 'chủ_nhật': 1, 'lúc': 5, 'vào': 1, 'gửi': 4, 'xe_gắn_máy': 1, 'đi': 2, 'bộ': 1, 'nhà': 3, 'ngồi': 6, 'quầy': 2, 'tính': 1, 'ghế': 1, 'kêu': 1, 'xe': 5, 'người': 2, 'phía': 2, 'điều_tra_viên': 1, 'hỏi': 1, 'anh': 2, 'xác_định': 3, 'trả_lời': 1, 'rõ_ràng': 1, 'hôm': 1, 'vàng': 1, 'về': 4, 'đồng_hồ': 1, 'nói': 1, 'hôm_nay': 1, 'muộn': 1, 'qua': 1, 'quay': 2, 'bình_thường': 1, 'đứng': 1, 'dựa': 1, 'hồng': 1, 'căn_cứ': 1, 'tình_hình': 1, 'thực_tế': 1, 'còn': 1, 'cùng': 2, 'vân': 1, 'bưu_cục': 2, 'hđtp': 1, 'nêu': 1, 'hơn': 1}]"
